[04/03/2026 11:47:05,11] Servidor iniciado 
::ffff:127.0.0.1 - - [04/Mar/2026 11:47:18] "GET / HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:19] code 404, message File not found
::1 - - [04/Mar/2026 11:47:19] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [04/Mar/2026 11:47:21] "GET /Portal.html HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /css/portal.css HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /logo111.png HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /portal-function/function-ocultarabas.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /portal-function/portal.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /tryvia.png HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /SING-Service/obter-token.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /SING-Service/consultar_integracao_IDCliente.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /portal-function/audit-utility.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /raio-x/index.html HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:21] "GET /login/index.html HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:22] "GET /portal-function/audit.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:22] "GET /login/styles.css HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:22] "GET /login/images/logo-target.png HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:22] "GET /login/images/logo-compass.png HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:22] "GET /login/images/logo-globe.png HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:22] "GET /login/images/logo-clock.png HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:22] "GET /login/images/logo-group.png HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:23] "GET /login/script.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:30] "GET /raio-x/styles.css HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:30] "GET /raio-x/script.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:47:39] "GET /calendario/index.html HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:49:24] "GET /implantacao/index.html HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:49:24] "GET /implantacao/style.css HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:49:24] "GET /implantacao/supabase-config.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:49:24] "GET /implantacao/script_modificado.js HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:51:20] "GET /Portal.html HTTP/1.1" 304 -
::1 - - [04/Mar/2026 11:55:28] "GET /mapa_de_visitas/index.html HTTP/1.1" 200 -
::1 - - [04/Mar/2026 11:57:16] "GET /Portal.html HTTP/1.1" 304 -
