[26/03/2026  9:15:58,80] Servidor iniciado 
::1 - - [26/Mar/2026 09:18:01] "GET / HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:02] code 404, message File not found
::1 - - [26/Mar/2026 09:18:02] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [26/Mar/2026 09:18:41] "GET /Portal.html HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:41] "GET /css/portal.css HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /portal-function/function-ocultarabas.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /logo111.png HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /tryvia.png HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /portal-function/audit.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /portal-function/audit-utility.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /SING-Service/consultar_integracao_IDCliente.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /SING-Service/obter-token.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /raio-x/index.html HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /raio-x/styles.css HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /portal-function/portal.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /login/index.html HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /login/styles.css HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /login/images/logo-compass.png HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /login/images/logo-target.png HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /login/images/logo-globe.png HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /login/images/logo-clock.png HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /login/images/logo-group.png HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:42] "GET /login/script.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:18:55] "GET /raio-x/script.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:19:02] "GET /cscontatos/index.html HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:19:02] "GET /cscontatos/style.css HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:19:02] "GET /cscontatos/app.js HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:22:42] "GET /cscontatos/index.html HTTP/1.1" 200 -
::1 - - [26/Mar/2026 09:22:55] "GET /cscontatos/index.html HTTP/1.1" 304 -
::1 - - [26/Mar/2026 09:22:56] "GET /cscontatos/index.html HTTP/1.1" 304 -
::1 - - [26/Mar/2026 09:22:57] "GET /cscontatos/index.html HTTP/1.1" 304 -
::1 - - [26/Mar/2026 09:22:57] "GET /cscontatos/index.html HTTP/1.1" 304 -
::1 - - [26/Mar/2026 09:22:57] "GET /cscontatos/index.html HTTP/1.1" 304 -
::1 - - [26/Mar/2026 09:22:57] "GET /cscontatos/index.html HTTP/1.1" 304 -
::1 - - [26/Mar/2026 09:22:58] "GET /cscontatos/index.html HTTP/1.1" 304 -
::1 - - [26/Mar/2026 09:22:58] "GET /cscontatos/index.html HTTP/1.1" 304 -
::1 - - [26/Mar/2026 09:22:58] "GET /cscontatos/index.html HTTP/1.1" 304 -
